x,ETF,NAV
1201.596,-0.845,-0.445
1201.925,-0.836,-0.437
1209.187,-0.711,-0.324
1209.833,-0.716,-0.326
1216.783,-0.858,-0.334
1217.432,-0.856,-0.318
1224.686,-0.623,-0.084
1225.336,-0.606,-0.081
1232.602,-0.613,-0.225
1232.931,-0.616,-0.23
1240.197,-0.626,-0.235
1240.843,-0.626,-0.234
1248.109,-0.641,-0.245
1252.868,-0.642,-0.223
1256.021,-0.626,-0.255
1260.78,-0.652,-0.426
1263.941,-0.742,-0.526
1268.7,-0.923,-0.542
1271.852,-0.947,-0.536
1276.612,-0.933,-0.618
1279.452,-0.93,-0.676
1287.364,-0.931,-0.687
1295.271,-0.94,-0.567
1303.183,-0.958,-0.577
1307.309,-0.973,-0.575
1311.095,-0.999,-0.587
1315.225,-1.114,-0.65
1319.01,-1.203,-0.728
1321.559,-1.252,-0.776
1326.61,-1.358,-0.868
1329.474,-1.393,-0.927
1334.526,-1.395,-1.008
1337.386,-1.403,-1.022
1339.922,-1.536,-1.021
1342.437,-1.553,-1.019
1347.834,-1.547,-1.031
1350.033,-1.548,-1.029
1357.944,-1.56,-1.039
1357.961,-1.56,-1.039
1365.548,-1.57,-1.309
1365.556,-1.57,-1.31
1373.459,-1.71,-1.32
1373.472,-1.71,-1.319
1381.063,-1.59,-1.199
1381.367,-1.588,-1.2
1388.979,-1.73,-1.335
1389.283,-1.735,-1.34
1397.195,-1.841,-1.351
1405.106,-1.939,-1.361
1410.823,-2.019,-1.535
1412.71,-2.052,-1.631
1418.739,-2.16,-1.974
1420.317,-2.132,-2.032
1426.334,-2.17,-2.119
1427.917,-2.272,-2.172
1433.95,-2.831,-2.564
1434.259,-2.848,-2.571
1441.546,-2.841,-2.449
1441.85,-2.842,-2.45
1449.77,-2.971,-2.721
1455.795,-3.12,-2.758
1457.369,-3.224,-2.861
1463.407,-3.65,-3.568
1469.136,-4.373,-4.699
1470.398,-4.571,-5.093
1473.649,-8.002,-7.309
1475.589,-10.471,-8.614
1475.651,-10.567,-8.603
1476.07,-11.332,-8.496
1476.49,-17.079,-8.356
1476.593,-20.334,-8.317
1476.696,-23.589,-8.278
1476.799,-26.845,-8.237
1477.218,-30.101,-8.062
1477.321,-33.954,-8.017
1477.424,-36.611,-7.971
1477.844,-39.867,-7.779
1477.947,-42.628,-7.731
1478.05,-46.378,-7.682
1478.469,-49.633,-7.479
1478.572,-52.384,-7.428
1478.675,-56.144,-7.377
1479.095,-59.4,-7.167
1479.198,-62.655,-7.115
1479.301,-65.911,-7.063
1479.72,-69.166,-6.849
1479.823,-70.266,-6.796
1480.243,-75.677,-6.581
1480.583,-76.052,-6.407
1483.449,-76.984,-5.057
1484.295,-73.73,-4.74
1484.825,-70.475,-4.566
1485.043,-67.35,-4.5
1485.256,-64.095,-4.439
1485.47,-60.84,-4.38
1486.061,-59.539,-4.234
1486.209,-60.195,-4.201
1486.481,-62.795,-4.143
1486.9,-66.051,-4.063
1487.32,-69.306,-3.991
1488.376,-72.693,-3.845
1488.59,-69.438,-3.821
1488.7,-62.928,-3.809
1488.803,-66.183,-3.798
1488.914,-59.673,-3.787
1489.127,-56.418,-3.767
1489.238,-49.908,-3.757
1489.341,-53.163,-3.749
1489.451,-46.653,-3.74
1489.664,-43.398,-3.724
1490.194,-40.143,-3.69
1490.408,-36.889,-3.679
1491.575,-33.765,-3.646
1492.105,-30.511,-3.646
1492.318,-27.256,-3.648
1492.848,-24.001,-3.661
1493.062,-20.746,-3.669
1493.471,-18.886,-3.689
1494.224,-17.492,-3.743
1496.978,-14.501,-4.042
1498.145,-11.378,-4.153
1499.308,-8.124,-4.214
1500.134,-5.496,-4.219
1501.108,-5.001,-4.181
1505.921,-7.091,-3.583
1507.383,-5.035,-3.317
1507.437,-5.01,-3.307
1508.489,-8.266,-3.109
1509.743,-7.877,-2.945
1510.589,-4.623,-2.894
1512.205,-5.667,-2.874
1512.624,-8.923,-2.879
1513.044,-12.178,-2.887
1513.463,-15.434,-2.897
1513.566,-18.69,-2.9
1513.986,-21.945,-2.913
1514.405,-25.201,-2.927
1514.65,-24.452,-2.936
1514.684,-24.03,-2.937
1514.898,-20.775,-2.945
1515.111,-17.52,-2.954
1515.222,-11.009,-2.958
1515.325,-14.265,-2.962
1515.435,-4.713,-2.967
1515.649,-4.5,-2.976
1520.055,-3.724,-3.196
1527.966,-3.734,-3.676
1532.722,-4.44,-4.001
1535.27,-4.525,-4.192
1540.329,-4.456,-4.401
1547.587,-4.189,-3.76
1553.921,-3.898,-3.401
1555.17,-3.84,-3.379
1561.508,-3.648,-3.399
1562.765,-3.646,-3.389
1568.154,-3.656,-3.169
1570.348,-3.62,-3.008
1576.061,-3.537,-2.565
1577.927,-3.537,-2.497
1585.847,-3.537,-2.768
1593.138,-3.537,-3.168
