Date,Open,High,Low,Close,Adj Close,Volume
2017-09-14,25.719999,25.719999,25.440001,25.559999,25.44982,34100
2017-09-15,25.57,25.57,25.410999,25.52,25.409992,18200
2017-09-18,25.74,25.74,25.587,25.631001,25.520514,8200
2017-09-19,25.950001,25.950001,25.6,25.635,25.524496,7300
2017-09-20,25.754999,25.754999,25.65,25.73,25.619085,15700
2017-09-21,26.02,26.02,25.690001,25.75,25.639,12200
2017-09-22,25.83,25.83,25.700001,25.780001,25.668871,17100
2017-09-25,25.889999,25.938,25.849001,25.912001,25.800303,19400
2017-09-26,26.290001,26.290001,25.93,25.99,25.877966,36500
2017-09-27,26.25,26.25,26,26.087,25.974548,23700
2017-09-28,26.115,26.115,26.01,26.059999,25.947664,600600
2017-09-29,26.174999,26.174999,26.075001,26.111,25.998444,21100
2017-10-02,26.150999,26.26,26.07,26.26,26.146803,13100
2017-10-03,26.5,26.874001,26.218,26.32,26.206543,201800
2017-10-04,26.4,26.41,26.299999,26.35,26.236414,7000
2017-10-05,26.41,26.49,26.398001,26.459999,26.34594,4900
2017-10-06,26.43,26.43,26.290001,26.290001,26.176674,9700
2017-10-09,26.469999,26.469999,26.26,26.26,26.146803,1600
2017-10-10,26.530001,26.530001,26.32,26.360001,26.246372,10600
2017-10-11,26.219999,26.370001,26.219999,26.360001,26.246372,6700
2017-10-12,26.27,26.35,26.27,26.313999,26.200569,4500
2017-10-13,26.299999,26.42,26.299999,26.360001,26.246372,25900
2017-10-16,26.48,26.48,26.360001,26.360001,26.246372,1800
2017-10-17,26.360001,26.379999,26.309999,26.309999,26.196587,2900
2017-10-18,26.372999,26.386999,26.320999,26.34,26.226458,2900
2017-10-19,26.236,26.389999,26.221001,26.389999,26.276241,15400
2017-10-20,26.41,26.559999,26.41,26.5,26.385767,1700
2017-10-23,26.695,26.695,26.469999,26.49,26.375811,2700
2017-10-24,26.57,26.57,26.487,26.493999,26.379793,2900
2017-10-25,26.415001,26.415001,26.158001,26.212999,26.100004,9600
2017-10-26,26.299999,26.393999,26.299999,26.377001,26.263298,1300
2017-10-27,26.27,26.43,26.23,26.43,26.316069,2800
2017-10-30,26.35,26.379999,26.299999,26.32,26.206543,2900
2017-10-31,26.190001,26.360001,26.190001,26.33,26.216499,8300
